SemiMajor Axis,Inclination,Number of Sats,Planes,Spacing Factor,COV Wertz,COV Wertz w/ 35 degree elevation angle,COV from propagation,DeltaV/day [km/s^2/day],Inc Maintenance,RAAN Maintenance,a and ecc Maintenance
55500,55,20,10,2,1.937390991,0.811213081,1.9398,0.062347214,0.028108908,0.013407226,0.02083108
60500,55,18,2,2,1.74830876,0.733162773,1.7466,0.074688493,0.030649512,0.001506604,0.042532377
60500,55,18,3,2,1.74830876,0.733162773,1.7454,0.045394102,0.02613622,0.001736871,0.017521011
60500,55,20,4,2,1.942565289,0.814625304,1.944,0.04715102,0.020252664,0.007838918,0.019059439
60500,55,15,5,2,1.456923967,0.610968978,1.456,0.048753256,0.021856374,0.011693352,0.015203529
60500,55,18,6,2,1.74830876,0.733162773,1.7474,0.058593516,0.029873211,0.010066275,0.01865403
60500,55,14,7,2,1.359795702,0.570237712,1.359,0.072266067,0.033486897,0.014912633,0.023866537
60500,55,16,8,2,1.554052231,0.651700243,1.5528,0.058663925,0.028429438,0.015393619,0.014840869
60500,55,18,9,2,1.74830876,0.733162773,1.7464,0.068695236,0.031474347,0.014765585,0.022455304
60500,55,20,10,2,1.942565289,0.814625304,1.9444,0.068646391,0.030729641,0.014664031,0.02325272
65500,55,18,2,2,1.752254656,0.735768551,1.7524,0.079445558,0.032216882,0.001509335,0.045719341
65500,55,18,3,2,1.752254656,0.735768551,1.7502,0.046141757,0.027040126,0.001477924,0.017623707
65500,55,20,4,2,1.946949618,0.817520612,1.9472,0.050648461,0.021730046,0.008526335,0.020392079
65500,55,15,5,2,1.460212214,0.613140459,1.4582,0.0532685,0.023825916,0.013196416,0.016246168
65500,55,18,6,2,1.752254656,0.735768551,1.752,0.061086715,0.031198456,0.010856059,0.019032199
65500,55,14,7,2,1.362864733,0.572264428,1.3622,0.077673058,0.036137707,0.016190995,0.025344356
65500,55,16,8,2,1.557559695,0.654016489,1.5568,0.062541055,0.02971687,0.016728011,0.016096174
65500,55,18,9,2,1.752254656,0.735768551,1.7518,0.075000001,0.034210366,0.01601278,0.024776855
65500,55,20,10,2,1.946949618,0.817520612,1.9478,0.074978114,0.033264874,0.01588582,0.02582742
70500,55,18,2,2,1.755640851,0.738007371,1.7554,0.08407563,0.03358964,0.001506517,0.048979473
70500,55,18,3,2,1.755640851,0.738007371,1.7538,0.047253214,0.027896667,0.001614414,0.017742134
70500,55,20,4,2,1.950712057,0.820008189,1.9504,0.054000798,0.023087385,0.009221614,0.021691799
70500,55,15,5,2,1.463034043,0.615006142,1.4642,0.057620808,0.025753925,0.01469068,0.017176202
70500,55,18,6,2,1.755640851,0.738007371,1.7564,0.063518368,0.032478321,0.011671659,0.019368389
70500,55,14,7,2,1.36549844,0.574005733,1.3662,0.082916395,0.038686931,0.017449268,0.026780196
70500,55,16,8,2,1.560569645,0.656006552,1.5596,0.0666766,0.031076023,0.018029425,0.017571152
70500,55,18,9,2,1.755640851,0.738007371,1.7492,0.081311299,0.036907952,0.017233934,0.027169413
70500,55,20,10,2,1.950712057,0.820008189,1.9446,0.081420625,0.035730416,0.01707537,0.028614839
75500,55,18,2,2,1.758578543,0.739951645,1.7566,0.088657292,0.034817412,0.001498791,0.052341089
75500,55,18,3,2,1.758578543,0.739951645,1.7574,0.04847198,0.028729319,0.001850548,0.017892114
75500,55,20,4,2,1.953976159,0.822168495,1.9524,0.057232881,0.02433917,0.00992024,0.022973471
75500,55,15,5,2,1.465482119,0.616626371,1.4676,0.061815402,0.027631249,0.01617551,0.018008643
75500,55,18,6,2,1.758578543,0.739951645,1.7588,0.066659179,0.033739776,0.012595699,0.020323704
75500,55,14,7,2,1.367783311,0.575517946,1.3694,0.088042431,0.041163474,0.018687879,0.028191078
75500,55,16,8,2,1.563180927,0.657734796,1.5608,0.071125656,0.032518556,0.019297964,0.019309136
75500,55,18,9,2,1.758578543,0.739951645,1.7566,0.087677976,0.039570899,0.018429589,0.029677489
75500,55,20,10,2,1.953976159,0.822168495,1.955,0.088043996,0.038139307,0.018234219,0.03167047
80500,55,18,2,2,1.761151304,0.741655912,1.7582,0.093242834,0.035933115,0.001486497,0.055823222
80500,55,18,3,2,1.761151304,0.741655912,1.7588,0.049729696,0.02955236,0.002093032,0.018084305
80500,55,20,4,2,1.956834783,0.824062124,1.9568,0.060366581,0.025501219,0.010618245,0.024247117
80500,55,15,5,2,1.467626087,0.618046593,1.4664,0.065863157,0.029459483,0.017649493,0.018754181
80500,55,18,6,2,1.761151304,0.741655912,1.7594,0.070085016,0.034999697,0.013478208,0.021607112
80500,55,14,7,2,1.369784348,0.576843487,1.3722,0.093643983,0.043588,0.019906032,0.030149951
80500,55,16,8,2,1.565467826,0.659249699,1.564,0.075937653,0.034049522,0.020532698,0.021355432
80500,55,18,9,2,1.761151304,0.741655912,1.7628,0.094146971,0.042203812,0.019599679,0.032343479
80500,55,20,10,2,1.956834783,0.824062124,1.9594,0.094913636,0.040501744,0.019363091,0.0350488
